Timestamp,Process Temp,Process Temp SP,Steam Flow Rate,Steam Totalizer,QualSteam Valve Opening,Inlet Steam Pressure,Outlet Steam Pressure,Pressure SP
2025-10-30 10:32:00,31.9,54.1,0.0,3128.82788086,100.0,3.3,3.3,2.5
2025-10-30 10:33:00,37.8,54.0,0.0,3128.82788086,100.0,3.3,3.3,2.5
2025-10-30 10:34:00,46.7,54.0,0.0,3128.82788086,100.0,3.2,3.2,2.5
2025-10-30 10:35:00,57.6,54.1,0.0,3128.85351562,0.0,3.2,2.5,2.5
2025-10-30 10:36:00,55.2,54.0,0.0,3129.03515625,100.0,3.1,3.1,2.5
2025-10-30 10:37:00,54.3,54.0,0.0,3129.03515625,84.2,3.1,3.1,2.5
2025-10-30 10:38:00,54.5,54.1,0.0,3129.12866211,72.5,3.1,3.1,2.5
2025-10-30 10:39:00,54.6,54.0,0.0,3129.12866211,73.5,3.1,3.1,2.5
2025-10-30 10:40:00,54.5,54.0,0.0,3129.30273438,80.1,3.1,3.1,2.5
2025-10-30 10:41:00,53.9,54.0,0.0,3129.48193359,100.0,3.0,3.0,2.5
2025-10-30 10:42:00,54.0,54.0,0.0,3129.79174805,74.2,3.0,3.0,2.5
2025-10-30 10:43:00,53.8,54.0,82.4536972,3130.97924805,94.1,2.4,1.9,2.5
2025-10-30 10:44:00,53.7,54.0,77.93276978,3132.1953125,93.2,2.2,1.8,2.5
2025-10-30 10:45:00,53.6,54.0,68.84236908,3133.68212891,94.7,1.8,1.2,2.5
2025-10-30 10:46:00,53.7,54.0,68.84236908,3134.70336914,90.2,1.8,1.1,2.5
2025-10-30 10:47:00,53.9,54.0,66.55858612,3135.71679688,91.0,1.7,1.2,2.5
2025-10-30 10:48:00,53.9,54.0,34.51541138,3136.88330078,72.6,1.8,1.6,2.5
2025-10-30 10:49:00,53.8,54.0,66.55858612,3137.2824707,98.5,1.7,1.5,2.5
2025-10-30 10:50:00,53.7,54.0,59.76370621,3138.22631836,67.5,1.6,0.9,2.5
2025-10-30 10:51:00,53.2,54.1,59.67692566,3139.15014648,100.0,1.4,1.0,2.5
2025-10-30 10:52:00,53.3,54.0,49.95698166,3140.3762207,99.0,1.6,1.5,2.5
2025-10-30 10:53:00,53.7,54.0,61.97611237,3141.24291992,78.5,1.5,0.9,2.5
2025-10-30 10:54:00,53.8,54.0,59.67692566,3142.15942383,98.3,1.4,1.2,2.5
2025-10-30 10:55:00,54.3,54.0,0.0,3142.85693359,76.0,1.6,1.6,2.5
2025-10-30 10:56:00,53.9,54.0,61.97611237,3143.41552734,100.0,1.5,1.1,2.5
2025-10-30 10:57:00,54.1,54.0,32.43769455,3143.97973633,77.0,1.7,1.6,2.5
2025-10-30 10:58:00,53.9,54.0,50.83022308,3144.81176758,74.1,1.6,1.4,2.5
2025-10-30 10:59:00,54.1,54.0,0.0,3145.06542969,92.7,1.8,1.8,2.5
2025-10-30 11:00:00,53.9,54.0,0.0,3145.11889648,100.0,1.9,1.9,2.5
2025-10-30 11:01:00,54.0,54.0,0.0,3145.13867188,100.0,2.0,2.0,2.5
2025-10-30 11:02:00,53.9,54.1,68.84236908,3145.79052734,100.0,1.8,1.6,2.5
2025-10-30 11:03:00,53.7,54.0,64.26991272,3146.78100586,100.0,1.6,1.2,2.5
2025-10-30 11:04:00,53.6,54.0,61.97611237,3147.74267578,100.0,1.5,1.0,2.5
2025-10-30 11:05:00,53.7,54.0,59.67692566,3148.66821289,87.3,1.4,0.9,2.5
2025-10-30 11:06:00,53.4,54.0,59.67692566,3149.83569336,100.0,1.4,1.2,2.5
2025-10-30 11:07:00,53.6,54.0,57.37203598,3150.71386719,100.0,1.3,1.2,2.5
2025-10-30 11:08:00,53.9,54.1,19.05851555,3151.52246094,45.5,1.4,1.2,2.5
2025-10-30 11:09:00,53.7,54.1,57.37203598,3152.11108398,100.0,1.3,1.1,2.5
2025-10-30 11:10:00,53.9,54.0,55.06119919,3152.97509766,100.0,1.2,1.0,2.5
2025-10-30 11:11:00,54.0,54.0,55.06119919,3153.82104492,100.0,1.2,0.8,2.5
2025-10-30 11:12:00,54.3,54.0,14.66705132,3154.31591797,53.6,1.4,1.2,2.5
2025-10-30 11:13:00,54.1,54.1,0.0,3154.56665039,100.0,1.4,1.4,2.5
2025-10-30 11:14:00,54.2,54.0,0.0,3154.56665039,100.0,1.5,1.6,2.5
2025-10-30 11:15:00,54.0,54.0,0.0,3154.65551758,100.0,1.6,1.7,2.5
2025-10-30 11:16:00,53.7,54.0,59.67692566,3155.75268555,100.0,1.4,1.2,2.5
2025-10-30 11:17:00,53.8,54.0,64.26991272,3156.18798828,84.0,1.6,1.5,2.5
2025-10-30 11:18:00,54.1,54.0,12.80666733,3156.79882812,59.0,1.6,1.5,2.5
2025-10-30 11:19:00,54.5,56.0,0.0,3157.06689453,100.0,1.5,1.5,2.5
2025-10-30 11:20:00,56.6,56.0,0.0,3157.68969727,0.0,1.6,0.9,2.5
2025-10-30 11:21:00,55.9,56.1,0.0,3157.96606445,100.0,1.5,1.5,2.5
2025-10-30 11:22:00,56.1,56.1,23.10818291,3158.12988281,65.0,1.6,1.5,2.5
2025-10-30 11:23:00,56.2,56.0,0.0,3158.62133789,75.0,1.5,1.5,2.5
2025-10-30 11:24:00,55.6,56.0,57.37203598,3159.27490234,100.0,1.3,1.0,2.5
2025-10-30 11:25:00,56.9,58.0,57.37203598,3160.13085938,100.0,1.3,1.2,2.5
2025-10-30 11:26:00,58.3,58.0,59.67692566,3160.34741211,92.3,1.4,0.8,2.5
2025-10-30 11:27:00,58.5,58.0,32.19557953,3161.16845703,30.0,1.4,1.1,2.5
2025-10-30 11:28:00,57.9,58.0,0.0,3161.38452148,100.0,1.4,1.4,2.5
2025-10-30 11:29:00,58.3,58.0,28.71656036,3162.00634766,58.1,1.4,1.1,2.5
2025-10-30 11:30:00,58.2,58.0,20.57466507,3162.82958984,76.3,1.4,1.3,2.5
2025-10-30 11:31:00,58.9,58.0,0.0,3163.06713867,100.0,1.4,1.4,2.5
2025-10-30 11:32:00,57.9,58.0,57.37203598,3163.64941406,100.0,1.3,1.1,2.5
2025-10-30 11:33:00,58.1,58.0,59.67692566,3164.28466797,96.8,1.4,1.3,2.5
2025-10-30 11:34:00,56.7,70.1,0.0,3164.65136719,100.0,1.4,1.5,2.5
2025-10-30 11:35:00,54.7,70.1,0.0,3164.65136719,100.0,1.5,1.5,2.5
2025-10-30 11:36:00,53.6,70.0,0.0,3164.65136719,100.0,1.6,1.6,2.5
2025-10-30 11:37:00,52.5,0.0,0.0,3164.65136719,0.0,1.7,1.6,2.5
2025-10-30 11:38:00,51.3,0.0,0.0,3164.65136719,0.0,1.8,1.6,2.5
2025-10-30 11:39:00,50.0,0.0,0.0,3164.65136719,0.0,1.9,1.6,2.5
2025-10-30 11:40:00,47.6,0.0,0.0,3164.65136719,0.0,1.9,1.7,2.5
2025-10-30 11:41:00,45.0,0.0,0.0,3164.65136719,0.0,2.0,1.7,2.5
2025-10-30 11:42:00,42.8,0.0,0.0,3164.65136719,0.0,2.1,1.8,2.5
2025-10-30 11:43:00,42.5,0.0,0.0,3164.65136719,0.0,2.2,1.8,2.5
2025-10-30 11:44:00,42.3,0.0,0.0,3164.65136719,0.0,2.2,1.9,2.5
2025-10-30 11:45:00,42.1,0.0,0.0,3164.65136719,0.0,2.3,2.0,2.5
2025-10-30 11:46:00,41.7,0.0,0.0,3164.65136719,0.0,2.4,2.0,2.5
2025-10-30 11:47:00,41.3,0.0,0.0,3164.65136719,0.0,2.5,2.1,2.5
2025-10-30 11:48:00,40.9,0.0,0.0,3164.65136719,0.0,2.5,2.2,2.5
2025-10-30 11:49:00,40.5,0.0,0.0,3164.65136719,0.0,2.5,2.2,2.5
2025-10-30 11:50:00,40.1,0.0,0.0,3164.65136719,0.0,2.6,2.3,2.5
2025-10-30 11:51:00,39.8,58.1,0.0,3164.67553711,100.0,2.6,2.6,2.5
